kod;nazwa;obszar;poziom;studia;a1;a2r;a2w;a3;a4p;a4m;a5;m1;anty;koszt;flaga;zagr;kier;klaster;duze_miasto;teren;przeciw;przedm;dosw
spec_marketingu;Specjalista marketingu;2;szybki;nie;przekonywanie pisanie obraz;przekonywanie slowo tworzenie;analiza wielozadaniowosc estetyka;zmiennosc tempo inicjatywa;rozwoj zmiennosc uznanie;stabilnosc;komputer nadgodziny presja;zdalna szybkie_wejscie;efekt_widoczny mierzenie nietykalnosc_pracy;niski;docelowy;wysokie;Celuj w analityke albo strategie, nie w wykonawstwo;marketing_tresc;0;0;;polski informatyka;projekty hobby
account_manager;Account manager;3;sredni;nie;przekonywanie rozmowa planowanie;negocjowanie wyczuwanie uprzejmosc;organizowanie wielozadaniowosc rozbrajanie;ludzie elastycznosc tempo;relacje pieniadze stabilnosc;czas_dla_siebie;ludzie_ciagle roszczeniowi presja;zdalna duza_organizacja;cudza_zlosc unikanie_konfliktu;zerowy;docelowy;niskie;;;0;0;;;praca_doryw
agent_nieruchomosci;Agent nieruchomosci;3;szybki;nie;przekonywanie prawo przedsiebiorczosc;przekonywanie negocjowanie odpornosc;samodzielnosc wyczuwanie organizowanie;ryzyko inicjatywa elastycznosc;pieniadze wolnosc;stabilnosc czas_dla_siebie;weekendy nieregularne niepewny_dochod ludzie_ciagle;przenika wysoki_poziom_zycia;stala_pensja weekendy_nie odmowa_do_siebie;niski;docelowy;umiarkowane;;sprzedaz_terenowa;0;0;;;praca_doryw
business_dev;Business development manager;3;dlugi;czesciowo;przekonywanie prawo prowadzenie;negocjowanie przekonywanie analiza;system odpornosc wyczuwanie;ryzyko inicjatywa szerokosc;pieniadze wplyw rozwoj;stabilnosc;wyjazdy ludzie_ciagle presja;mobilnosc duzo_godzin;efekt_szybki odmowa_do_siebie;zerowy;docelowy;niskie;;;1;0;;jezyki;
doradca_bank;Doradca klienta w banku;3;szybki;czesciowo;pieniadze przekonywanie rozmowa;przekonywanie uprzejmosc rachunki;reguly wyczuwanie dokladnosc;ludzie struktura powtarzalnosc;stabilnosc pieniadze relacje;wolnosc mistrzostwo;ludzie_ciagle roszczeniowi weekendy komputer;osiadlosc granica_ostra;sprzedaz_nie nuda_powtarzalnosc cudza_zlosc;zerowy;trampolina;wysokie;Dobra pierwsza praca, zaplanuj wyjscie w ciagu kilku lat;;0;0;;matematyka;
handlowiec;Przedstawiciel handlowy;3;szybki;nie;przekonywanie prawo przedsiebiorczosc;przekonywanie negocjowanie odpornosc;wyczuwanie samodzielnosc uprzejmosc;inicjatywa ryzyko tempo;pieniadze wolnosc uznanie;stabilnosc;ludzie_ciagle wyjazdy niepewny_dochod presja;duzo_godzin wysoki_poziom_zycia mobilnosc;odmowa_do_siebie stala_pensja mierzenie samodyscyplina_brak;zerowy;docelowy;umiarkowane;Celuj w sprzedaz zlozona, nie w prosta;sprzedaz_terenowa;0;0;;;praca_doryw
analityk_finansowy;Analityk finansowy;4;sredni;tak;liczby pieniadze dociekanie;rachunki analiza system;dokladnosc slowo przekonywanie;glebia dokladnosc cisza;pieniadze mistrzostwo rozwoj;relacje;studia komputer nadgodziny doksztalcanie;zdalna duza_organizacja wysoki_poziom_zycia;potrzeba_stabilnosci potrzeba_ludzi mierzenie;niski;docelowy;umiarkowane;Ucz sie zakladan i ich obrony, nie samego liczenia;analiza_fin;1;0;;matematyka informatyka;konkursy
doradca_podatkowy;Doradca podatkowy;4;dlugi;tak;prawo pieniadze precyzja liczby;reguly analiza slowo;zapamietywanie dokladnosc przekonywanie;glebia dokladnosc konfrontacja;mistrzostwo pieniadze zasady stabilnosc;zmiennosc;studia egzaminy doksztalcanie odpowiedzialnosc komputer;dluga_inwestycja maly_zespol wlasne;procedury_nie doksztalcanie_nie potrzeba_pewnosci;sredni;docelowy;niskie;;;0;0;;matematyka polski;
glowny_ksiegowy;Glowny ksiegowy;4;dlugi;tak;pieniadze precyzja porzadek prowadzenie;reguly dokladnosc rachunki;system prowadzenie_grupy analiza;struktura dokladnosc konfrontacja;stabilnosc mistrzostwo pieniadze zasady;zmiennosc;studia egzaminy nadgodziny odpowiedzialnosc doksztalcanie;osiadlosc duza_organizacja przenika;unikanie_konfliktu potrzeba_stabilnosci;niski;docelowy;niskie;;ksiegowosc;0;0;;matematyka;praca_stala
kontroler_finansowy;Kontroler finansowy;4;dlugi;tak;liczby pieniadze porzadek;analiza system rachunki;przekonywanie dokladnosc wyjasnianie;struktura konfrontacja ludzie;stabilnosc pieniadze wplyw;uznanie;studia komputer nadgodziny presja;duza_organizacja osiadlosc;unikanie_konfliktu potrzeba_uznania;niski;docelowy;niskie;;analiza_fin;0;0;;matematyka;
ksiegowy;Ksiegowy;4;sredni;czesciowo;pieniadze liczby precyzja porzadek;rachunki dokladnosc reguly;analiza wytrzymalosc uczenie_sie;struktura dokladnosc cisza;stabilnosc mistrzostwo pieniadze;zmiennosc;komputer nadgodziny doksztalcanie powtarzalnosc;granica_ostra osiadlosc duza_organizacja;nuda_powtarzalnosc potrzeba_ludzi doksztalcanie_nie;niski;docelowy;umiarkowane;Celuj w pelne ksiegi i doradztwo, nie we wprowadzanie dokumentow;ksiegowosc;0;0;;matematyka;
spec_plac;Specjalista do spraw plac;4;sredni;nie;pieniadze precyzja porzadek;dokladnosc reguly rachunki;wytrzymalosc uprzejmosc analiza;struktura dokladnosc powtarzalnosc;stabilnosc mistrzostwo;zmiennosc wplyw;komputer powtarzalnosc nadgodziny;granica_ostra osiadlosc;nuda_powtarzalnosc mierzenie;niski;docelowy;umiarkowane;Specjalizuj sie w rozliczeniach cudzoziemcow, to obszar rosnacy;ksiegowosc;0;0;;matematyka;
obsluga_klienta;Specjalista obsługi klienta;5;szybki;nie;rozmowa uczenie porzadek;uprzejmosc wyjasnianie cierpliwosc;problemy dokladnosc uczenie_sie;ludzie powtarzalnosc struktura;stabilnosc relacje rozwoj;pieniadze mistrzostwo wplyw;ludzie_ciagle roszczeniowi komputer zmiany;szybkie_wejscie zdalna;cudza_zlosc mierzenie nuda_powtarzalnosc;zerowy;trampolina;bardzo_wysokie;Najlatwiejsze wejscie w bazie, ale zaplanuj wyjscie w 2-3 lata;admin_biuro;0;0;;jezyki;
office_manager;Office manager;5;dlugi;czesciowo;planowanie porzadek rozmowa;organizowanie wielozadaniowosc uprzejmosc;negocjowanie rozbrajanie samodzielnosc;elastycznosc ludzie bodzce;relacje stabilnosc zmiennosc;mistrzostwo uznanie;ludzie_ciagle nadgodziny;osiadlosc duza_organizacja;potrzeba_ciszy efekt_widoczny potrzeba_uznania;zerowy;docelowy;umiarkowane;;admin_biuro;0;0;;;praca_stala
rekruter;Rekruter;5;szybki;nie;rozmowa przekonywanie uczenie;wyczuwanie przekonywanie odpornosc;wielozadaniowosc slowo organizowanie;ludzie tempo inicjatywa;relacje pieniadze zmiennosc;mistrzostwo stabilnosc;ludzie_ciagle komputer presja;zdalna;odmowa_do_siebie mierzenie;zerowy;docelowy;umiarkowane;Ucz sie docierania do ludzi, nie przegladania zgloszen;;0;0;;;praca_doryw
spec_admin;Specjalista administracyjny;5;sredni;czesciowo;porzadek precyzja planowanie;organizowanie dokladnosc wielozadaniowosc;reguly uprzejmosc;struktura powtarzalnosc reagowanie;stabilnosc czas_dla_siebie relacje;wplyw pieniadze mistrzostwo;komputer powtarzalnosc;granica_ostra osiadlosc;potrzeba_uznania potrzeba_rozwoju nuda_powtarzalnosc;zerowy;trampolina;bardzo_wysokie;Zaplanuj wyjscie w strone kadr, zakupow albo analizy w ciagu 3 lat;;0;0;;;praca_doryw
spec_hr;Specjalista HR;5;sredni;czesciowo;rozmowa porzadek prowadzenie;wyczuwanie reguly rozbrajanie;dokladnosc organizowanie wyjasnianie;ludzie struktura konfrontacja;relacje stabilnosc wplyw;mistrzostwo uznanie;ludzie_ciagle komputer presja;osiadlosc duza_organizacja;unikanie_konfliktu;zerowy;docelowy;umiarkowane;Celuj w HR doradczy, nie administracyjny;;0;0;;;prowadzenie
urzednik;Urzednik;5;sredni;czesciowo;porzadek prawo precyzja;reguly dokladnosc uprzejmosc;wyjasnianie analiza cierpliwosc;struktura powtarzalnosc dokladnosc;stabilnosc czas_dla_siebie zasady sens;wolnosc pieniadze wplyw;komputer ludzie_ciagle roszczeniowi powtarzalnosc;granica_ostra osiadlosc stacjonarna;procedury_nie cudza_zlosc potrzeba_rozwoju;zerowy;docelowy;umiarkowane;;;0;0;;polski wos;
analityk_danych;Analityk danych;6;sredni;czesciowo;liczby tech dociekanie;analiza rachunki system;dokladnosc wytrzymalosc uczenie_sie;glebia cisza samodzielnie;rozwoj mistrzostwo pieniadze;relacje;studia komputer doksztalcanie;zdalna duza_organizacja;nuda_powtarzalnosc potrzeba_ludzi efekt_widoczny;niski;docelowy;umiarkowane;Buduj podstawy statystyczne, nie tylko znajomosc narzedzi;dane;0;0;;matematyka informatyka;projekty konkursy
analityk_rynku;Analityk rynku;6;sredni;tak;dociekanie liczby rozmowa;analiza wyczuwanie rachunki;slowo dokladnosc wystapienia;dokladnosc ludzie glebia;rozwoj mistrzostwo uznanie;wplyw;studia komputer wystapienia presja;zdalna duza_organizacja;kontrola_efektu mierzenie;niski;docelowy;umiarkowane;Lacz badania deklaracji z analiza zachowan rzeczywistych;;1;0;;matematyka polski wos;
data_scientist;Data scientist;6;dlugi;tak;liczby tech dociekanie;analiza rachunki system;uczenie_sie dokladnosc wytrzymalosc;glebia cisza samodzielnie;rozwoj mistrzostwo pieniadze;relacje efekt_widoczny;studia komputer doksztalcanie;dluga_inwestycja zdalna;efekt_szybki potrzeba_ludzi;niski;docelowy;niskie;Ucz sie podstaw matematycznych, narzedzia zmieniaja sie co dwa lata;dane;0;0;;matematyka fizyka informatyka;konkursy projekty
spec_bi;Specjalista BI;6;sredni;czesciowo;liczby tech obraz porzadek;system estetyka dokladnosc;estetyka wyjasnianie problemy;struktura dokladnosc samodzielnie;mistrzostwo stabilnosc pieniadze;uznanie;komputer doksztalcanie;zdalna duza_organizacja;potrzeba_uznania nuda_powtarzalnosc;niski;docelowy;niskie;Modelowanie danych jest wazniejsze od narzedzia;;0;0;;matematyka informatyka;
kurator_sadowy;Kurator sadowy;7;sredni;tak;prawo opieka rozmowa wspolnota;wyczuwanie reguly rozbrajanie;samodzielnosc opanowanie dokladnosc;samodzielnie konfrontacja ludzie;sens zasady stabilnosc;pieniadze czas_dla_siebie;studia ludzie_ciagle agresja nieregularne odpowiedzialnosc;przenika mobilnosc;zabieranie_do_domu unikanie_konfliktu efekt_widoczny;niski;docelowy;bardzo_niskie;;;0;0;;polski wos;wolontariat
notariusz;Notariusz;7;bardzo_dlugi;tak;prawo pieniadze precyzja;dokladnosc uprzejmosc rachunki;zapamietywanie wyjasnianie analiza;struktura dokladnosc powtarzalnosc;stabilnosc pieniadze zasady;zmiennosc wplyw;dlugie_studia egzaminy odpowiedzialnosc ludzie_ciagle;osiadlosc granica_ostra wlasne;nuda_powtarzalnosc potrzeba_zmiennosci;sredni;docelowy;niskie;;prawo_urzad;0;0;;polski;
prawnik_wewnetrzny;Prawnik wewnetrzny;7;bardzo_dlugi;tak;prawo porzadek pisanie;reguly analiza slowo;dokladnosc negocjowanie wyjasnianie;struktura glebia ludzie;stabilnosc pieniadze zasady;wolnosc;dlugie_studia egzaminy komputer odpowiedzialnosc;duza_organizacja granica_ostra;unikanie_konfliktu potrzeba_zmiennosci;sredni;docelowy;umiarkowane;;prawnicy;1;0;;polski wos;
radca_prawny;Radca prawny;7;bardzo_dlugi;tak;prawo pisanie dociekanie;reguly analiza slowo;zapamietywanie dokladnosc przekonywanie;glebia dokladnosc konfrontacja;mistrzostwo pieniadze zasady uznanie;czas_dla_siebie;dlugie_studia egzaminy doksztalcanie odpowiedzialnosc nadgodziny presja;dluga_inwestycja duzo_godzin wlasne;unikanie_konfliktu doksztalcanie_nie potrzeba_pewnosci;sredni;docelowy;umiarkowane;Ucz sie waskiej specjalizacji, generalisci sa najbardziej zagrozeni;prawnicy;1;0;;polski historia wos;
spec_zgodnosci;Specjalista do spraw zgodnosci;7;sredni;tak;prawo porzadek precyzja;reguly dokladnosc analiza;wyjasnianie system slowo;struktura dokladnosc konfrontacja;stabilnosc zasady pieniadze;uznanie zmiennosc;studia komputer doksztalcanie odpowiedzialnosc;duza_organizacja granica_ostra;unikanie_konfliktu potrzeba_uznania;niski;docelowy;niskie;;prawo_urzad;0;0;;polski wos;
funkcjonariusz_sw;Funkcjonariusz Sluzby Wieziennej;8;sredni;nie;prawo wspolnota rozmowa;opanowanie rozbrajanie reguly;wyczuwanie odpornosc wytrzymalosc;struktura konfrontacja bezpieczenstwo;stabilnosc zasady;uznanie wolnosc;zmiany noce weekendy agresja odpowiedzialnosc;granica_ostra stacjonarna;cudza_zlosc zabieranie_do_domu;zerowy;docelowy;bardzo_niskie;;;0;0;;wf wos;
policjant;Policjant;8;sredni;nie;prawo ruch wspolnota;opanowanie wytrzymalosc rozbrajanie;reguly samodzielnosc odpornosc;zespol konfrontacja bodzce;stabilnosc sens wspolnota;czas_dla_siebie wolnosc;zmiany noce weekendy agresja fizyczna odpowiedzialnosc;przenika stacjonarna;unikanie_konfliktu cudza_zlosc noce_nie;zerowy;docelowy;bardzo_niskie;;mundurowe;0;0;kregoslup;wf wos;wolontariat
ratownik_gorski;Ratownik górski lub wodny;8;sredni;nie;ruch przyroda wspolnota;wytrzymalosc opanowanie sprzet;samodzielnosc zespol problemy;zespol bodzce ryzyko;sens wspolnota zmiennosc;stabilnosc pieniadze;zmiany weekendy fizyczna kazda_pogoda krew umieranie;mobilnosc przenika;umieranie fizycznosc stala_pensja;niski;docelowy;niskie;;ratownictwo_teren;0;0;kregoslup;wf;hobby wolontariat
spec_bhp;Specjalista BHP;8;sredni;czesciowo;prawo precyzja porzadek;reguly dokladnosc wyjasnianie;analiza wystapienia system;struktura konfrontacja dokladnosc;stabilnosc zasady sens;uznanie pieniadze;studia odpowiedzialnosc komputer;osiadlosc granica_ostra;unikanie_konfliktu potrzeba_uznania;niski;docelowy;niskie;;;0;0;;wos;
strazak;Strazak;8;sredni;nie;ruch wspolnota naprawianie;opanowanie wytrzymalosc sprzet;zespol samodzielnosc problemy;zespol bodzce efekt_widoczny;sens wspolnota stabilnosc;czas_dla_siebie;zmiany noce weekendy fizyczna krew umieranie odpowiedzialnosc;przenika stacjonarna;umieranie noce_nie fizycznosc;zerowy;docelowy;bardzo_niskie;;ratownictwo_teren;0;0;kregoslup wysokosc;wf;wolontariat
zolnierz;Zolnierz zawodowy;8;sredni;nie;ruch wspolnota prawo;wytrzymalosc opanowanie reguly;zespol samodzielnosc odpornosc;zespol struktura bezpieczenstwo;stabilnosc wspolnota zasady;wolnosc czas_dla_siebie;zmiany wyjazdy przeprowadzka fizyczna odpowiedzialnosc;mobilnosc przenika;procedury_nie potrzeba_decydowania;zerowy;docelowy;bardzo_niskie;;mundurowe;0;0;kregoslup;wf;
administrator;Administrator systemów;9;sredni;nie;tech naprawianie porzadek;system problemy sprzet;dokladnosc samodzielnosc opanowanie;struktura samodzielnie cisza;stabilnosc mistrzostwo pieniadze;uznanie;komputer dyzury doksztalcanie odpowiedzialnosc;zdalna duza_organizacja;potrzeba_uznania noce_nie;niski;docelowy;umiarkowane;;infra_it;0;0;;informatyka;projekty hobby
cyberbezpieczenstwo;Specjalista cyberbezpieczenstwa;9;dlugi;czesciowo;tech dociekanie prawo;problemy system analiza;dokladnosc uczenie_sie reguly;glebia cisza dokladnosc;pieniadze mistrzostwo rozwoj;czas_dla_siebie;komputer dyzury doksztalcanie odpowiedzialnosc presja;zdalna duza_organizacja;doksztalcanie_nie potrzeba_pewnosci;niski;docelowy;bardzo_niskie;;;0;0;;informatyka matematyka;konkursy projekty
devops;DevOps;9;dlugi;nie;tech porzadek naprawianie;system problemy uczenie_sie;dokladnosc samodzielnosc opanowanie;glebia samodzielnie struktura;pieniadze mistrzostwo rozwoj;czas_dla_siebie;komputer dyzury doksztalcanie odpowiedzialnosc;zdalna;potrzeba_ludzi noce_nie waska_wiedza;niski;docelowy;niskie;;infra_it;0;0;;informatyka matematyka;projekty
inzynier_danych;Inzynier danych;9;dlugi;czesciowo;tech liczby porzadek;system analiza problemy;dokladnosc uczenie_sie wytrzymalosc;glebia struktura cisza;pieniadze mistrzostwo rozwoj;relacje uznanie;komputer doksztalcanie;zdalna duza_organizacja;potrzeba_ludzi efekt_widoczny;niski;docelowy;niskie;;;0;0;;informatyka matematyka;projekty
programista;Programista;9;sredni;nie;tech liczby dociekanie;problemy uczenie_sie system;dokladnosc samodzielnosc analiza;glebia cisza samodzielnie;pieniadze rozwoj mistrzostwo;relacje;komputer doksztalcanie samotnosc;zdalna szybkie_wejscie;potrzeba_ruchu efekt_widoczny potrzeba_ludzi doksztalcanie_nie;niski;docelowy;umiarkowane;Ucz sie projektowania systemow, nie tylko pisania kodu;;0;0;;matematyka informatyka;projekty konkursy hobby
spec_wdrozen;Specjalista wdrozen;9;sredni;nie;tech uczenie rozmowa;wyjasnianie problemy organizowanie;cierpliwosc wielozadaniowosc uczenie_sie;ludzie elastycznosc tempo;rozwoj relacje pieniadze;cisza;komputer wyjazdy ludzie_ciagle presja;mobilnosc zdalna;potrzeba_ciszy cudza_zlosc;niski;docelowy;niskie;;;0;0;;informatyka;
tester;Tester oprogramowania;9;szybki;nie;precyzja tech porzadek;dokladnosc analiza reguly;wytrzymalosc problemy uczenie_sie;struktura dokladnosc cisza;stabilnosc rozwoj;mistrzostwo wplyw;komputer doksztalcanie powtarzalnosc;zdalna szybkie_wejscie;nuda_powtarzalnosc potrzeba_tworzenia;niski;trampolina;wysokie;Przejdz do automatyzacji, testowanie reczne sie kurczy;;0;0;;informatyka;projekty
wsparcie_tech;Specjalista wsparcia technicznego;9;szybki;nie;tech uczenie naprawianie;wyjasnianie uprzejmosc problemy;cierpliwosc uczenie_sie dokladnosc;ludzie powtarzalnosc struktura;stabilnosc rozwoj relacje;pieniadze mistrzostwo;komputer ludzie_ciagle roszczeniowi zmiany;szybkie_wejscie zdalna;cudza_zlosc nuda_powtarzalnosc mierzenie;zerowy;trampolina;wysokie;Dobre wejscie do IT, zaplanuj przejscie dalej;;0;0;;informatyka jezyki;
automatyk;Automatyk;10;sredni;tak;tech naprawianie precyzja;problemy sprzet system;opanowanie uczenie_sie samodzielnosc;samodzielnie tempo efekt_widoczny;pieniadze mistrzostwo rozwoj;czas_dla_siebie;studia wyjazdy halas odpowiedzialnosc presja;mobilnosc duzo_godzin;potrzeba_pewnosci doksztalcanie_nie;niski;docelowy;bardzo_niskie;;;0;0;;matematyka fizyka informatyka;hobby projekty
inzynier_jakosci;Inzynier jakosci;10;sredni;tak;precyzja tech naprawianie;dokladnosc sprzet przestrzenna;analiza reguly konfrontacja;dokladnosc konfrontacja struktura;zasady stabilnosc mistrzostwo;zmiennosc uznanie;studia halas wyjazdy odpowiedzialnosc;osiadlosc duza_organizacja;unikanie_konfliktu nuda_powtarzalnosc dokumentacja_nie;niski;docelowy;niskie;;;0;0;;matematyka fizyka;
inzynier_mechanik;Inzynier mechanik;10;sredni;tak;naprawianie rece tech precyzja;problemy przestrzenna system;dokladnosc organizowanie uczenie_sie;struktura dokladnosc glebia;mistrzostwo stabilnosc pieniadze;zmiennosc;studia komputer odpowiedzialnosc halas;osiadlosc duza_organizacja;efekt_szybki procedury_nie brud_nie;niski;docelowy;niskie;Ucz sie takze automatyki, sama mechanika to weziesze pole;;0;0;;matematyka fizyka;hobby projekty
kierownik_ruchu;Kierownik utrzymania ruchu;10;bardzo_dlugi;tak;naprawianie prowadzenie planowanie;problemy prowadzenie_grupy opanowanie;organizowanie system samodzielnosc;inicjatywa konfrontacja elastycznosc;wplyw pieniadze stabilnosc;czas_dla_siebie;studia dyzury noce halas odpowiedzialnosc presja;przenika duza_organizacja;noce_nie unikanie_konfliktu potrzeba_stabilnosci;niski;docelowy;bardzo_niskie;;;0;0;;matematyka fizyka;praca_stala
operator_cnc;Operator maszyn CNC;10;szybki;nie;rece precyzja naprawianie;manualne dokladnosc sprzet;wytrzymalosc przestrzenna wytrwalosc;struktura dokladnosc powtarzalnosc;stabilnosc mistrzostwo pieniadze;zmiennosc wolnosc;zmiany noce fizyczna stanie halas brud;szybkie_wejscie osiadlosc;nuda_powtarzalnosc noce_nie stanie_nie;bardzo_niski;trampolina;umiarkowane;Zaplanuj przejscie na ustawiacza w ciagu 2-3 lat;;0;0;kregoslup sluch;matematyka zawodowe;
technolog_produkcji;Technolog produkcji;10;sredni;tak;precyzja planowanie tech;system organizowanie analiza;dokladnosc wyjasnianie przekonywanie;struktura ludzie dokladnosc;mistrzostwo stabilnosc;zmiennosc;studia halas komputer;osiadlosc duza_organizacja;efekt_szybki unikanie_konfliktu;niski;docelowy;niskie;;;0;0;;matematyka fizyka;
diagnosta_lab;Diagnosta laboratoryjny;11;dlugi;tak;zdrowie precyzja dociekanie;dokladnosc analiza reguly;zapamietywanie opanowanie sprzet;dokladnosc cisza samodzielnie;sens stabilnosc mistrzostwo;relacje;studia dyzury noce chemikalia odpowiedzialnosc;osiadlosc granica_ostra;potrzeba_ludzi noce_nie;niski;docelowy;niskie;;;0;0;;biologia chemia;
pracownik_naukowy;Pracownik naukowy;11;bardzo_dlugi;tak;dociekanie liczby precyzja;system analiza cierpliwosc;slowo dokladnosc samodzielnosc;glebia cisza samodzielnie;rozwoj mistrzostwo wolnosc zasady;pieniadze stabilnosc;dlugie_studia doksztalcanie niepewny_dochod wyjazdy komputer;dluga_inwestycja przenika;potrzeba_stabilnosci odmowa_do_siebie efekt_widoczny;niski;docelowy;umiarkowane;Rozwaz R&D w przemysle, te same studia, dwukrotnie wyzsze zarobki;;1;0;;matematyka fizyka chemia biologia;konkursy projekty
spec_rd;Specjalista R&D;11;sredni;tak;dociekanie liczby precyzja tech;analiza system tworzenie;dokladnosc wytrzymalosc uczenie_sie;glebia dokladnosc cisza;rozwoj mistrzostwo pieniadze;uznanie;studia doksztalcanie komputer chemikalia;duza_organizacja osiadlosc;nietykalnosc_pracy bez_ograniczen;niski;docelowy;niskie;;;0;0;;chemia fizyka biologia matematyka;projekty konkursy
technik_lab;Technik laboratoryjny;11;sredni;nie;precyzja dociekanie;dokladnosc reguly cierpliwosc;wytrzymalosc analiza sprzet;struktura dokladnosc cisza powtarzalnosc;stabilnosc mistrzostwo;zmiennosc pieniadze;chemikalia powtarzalnosc stanie;osiadlosc granica_ostra;nuda_powtarzalnosc potrzeba_ludzi;zerowy;trampolina;umiarkowane;Specjalizuj sie w trudnej technice analitycznej;;0;0;alergie_wziewne;chemia biologia;
architekt;Architekt;12;bardzo_dlugi;tak;obraz precyzja naprawianie planowanie;przestrzenna estetyka dokladnosc;system reguly organizowanie;glebia dokladnosc wlasne_pomysly;mistrzostwo uznanie;pieniadze czas_dla_siebie;dlugie_studia egzaminy komputer nadgodziny odpowiedzialnosc;dluga_inwestycja osiadlosc;efekt_szybki bez_ograniczen;sredni;docelowy;umiarkowane;Projektowanie tworcze to 10% pracy, reszta to przepisy i koordynacja;;1;0;;matematyka rysunek artystyczne;projekty hobby
