kod;nazwa;typ;poziom;lata;wymagane;punktowane;trudnosc;bezposrednie;posrednie;odsetek;gdzie;co_sie_robi;czego_nie_daje;droga_bez_studiow
matematyka;Matematyka;uniwersytecki;lic_mgr;5;matematyka;fizyka informatyka;wysoka;data_scientist pracownik_naukowy;analityk_danych analityk_finansowy nauczyciel programista;35;duze_miasta;Analiza matematyczna, algebra, rachunek prawdopodobieństwa. Bardzo abstrakcyjny kierunek.;Bezpośredniej ścieżki zawodowej. Otwiera analizę i naukę, ale wymaga douczenia narzędzi.;0
analityka_danych;Analityka danych;techniczny;lic_mgr;5;matematyka;informatyka;srednia;analityk_danych spec_bi inzynier_danych;data_scientist analityk_rynku;65;duze_miasta;SQL, Python, statystyka, wizualizacja, hurtownie danych. Kierunek młody i praktyczny.;;0
statystyka;Statystyka;uniwersytecki;lic_mgr;5;matematyka;informatyka;srednia;analityk_danych analityk_rynku;data_scientist pracownik_naukowy;45;kilka_osrodkow;Wnioskowanie statystyczne, projektowanie badań, analiza danych.;;0
ekonomia_mat;Metody ilościowe w ekonomii;uniwersytecki;lic_mgr;5;matematyka;informatyka;srednia;analityk_finansowy analityk_danych;kontroler_finansowy data_scientist;50;duze_miasta;Modelowanie ekonomiczne, prognozowanie, optymalizacja.;;0
cyberbezp_kier;Cyberbezpieczeństwo;techniczny;inz_mgr;5;matematyka;fizyka informatyka;wysoka;cyberbezpieczenstwo administrator;programista devops spec_zgodnosci;70;duze_miasta;Kryptografia, bezpieczeństwo sieci, analiza złośliwego oprogramowania, prawo.;;1
prawo;Prawo;uniwersytecki;jednolite;5;;polski historia wos jezyki;wysoka;prawnik_wewnetrzny spec_zgodnosci kurator_sadowy;radca_prawny notariusz doradca_podatkowy urzednik;50;wszedzie;Prawo cywilne, karne, administracyjne, konstytucyjne. Bardzo dużo pamięciowego przyswajania.;Możliwości wykonywania zawodu. To aplikacja, czyli kolejne 3 do 4 lat i trudny egzamin wstępny.;0
bezp_wewn;Bezpieczeństwo wewnętrzne;uniwersytecki;lic_mgr;5;;wos historia wf;niska;;policjant funkcjonariusz_sw spec_bhp zolnierz urzednik;30;wszedzie;Prawo karne, zarządzanie kryzysowe, kryminologia, ochrona informacji.;Przewagi przy naborze do służb. Do policji i wojska przyjmują także po innych kierunkach i bez studiów.;0
kryminologia;Kryminologia;uniwersytecki;lic_mgr;5;;wos polski biologia;srednia;;policjant kurator_sadowy funkcjonariusz_sw psycholog;25;kilka_osrodkow;Przyczyny przestępczości, psychologia kryminalna, wiktymologia.;Konkretnego zawodu. Większość absolwentów pracuje poza obszarem kierunku.;0
praca_socj_kier;Praca socjalna;uniwersytecki;lic_mgr;5;;wos polski biologia;niska;pracownik_socjalny asystent_rodziny;kierownik_placowki kurator_sadowy koordynator_ngo animator;60;wszedzie;Metodyka pracy socjalnej, polityka społeczna, psychologia, prawo pomocy społecznej.;Odporności psychicznej, która w tym zawodzie decyduje o przetrwaniu. Superwizji też nie uczy.;0
politologia;Politologia;uniwersytecki;lic_mgr;5;;wos historia polski;niska;;urzednik dziennikarz koordynator_ngo fundraiser;20;wszedzie;Systemy polityczne, myśl polityczna, administracja publiczna.;Konkretnego zawodu. Co piąty absolwent pracuje w obszarze związanym z kierunkiem.;0
automatyka;Automatyka i robotyka;techniczny;inz_mgr;5;matematyka;fizyka informatyka;wysoka;automatyk kierownik_ruchu;inzynier_mechanik technolog_produkcji programista devops;70;kilka_osrodkow;Sterowanie, programowanie PLC, robotyka, napędy, elektronika.;;1
mechanika;Mechanika i budowa maszyn;techniczny;inz_mgr;5;matematyka;fizyka;srednia;inzynier_mechanik technolog_produkcji inzynier_jakosci;kierownik_ruchu operator_cnc projektant_produktu;65;kilka_osrodkow;Wytrzymałość materiałów, konstrukcja maszyn, CAD, technologie wytwarzania.;;1
elektrotechnika;Elektrotechnika;techniczny;inz_mgr;5;matematyka;fizyka;srednia;automatyk projektant_instalacji;elektryk kierownik_ruchu instalator_pv inzynier_mechanik;65;kilka_osrodkow;Obwody elektryczne, maszyny elektryczne, energetyka, instalacje.;;1
mechatronika;Mechatronika;techniczny;inz_mgr;5;matematyka;fizyka informatyka;srednia;automatyk technik_serwisu;inzynier_mechanik operator_cnc mechanik;60;kilka_osrodkow;Połączenie mechaniki, elektroniki i informatyki. Systemy sterowania urządzeniami.;;1
inz_srodowiska;Inżynieria środowiska;techniczny;inz_mgr;5;matematyka;fizyka chemia;niska;projektant_instalacji spec_srodowiska;hydraulik instalator_pv agronom;50;kilka_osrodkow;Instalacje sanitarne, wodociągi, ogrzewanie, wentylacja, gospodarka odpadami.;;0
energetyka;Energetyka;techniczny;inz_mgr;5;matematyka;fizyka;srednia;projektant_instalacji automatyk;instalator_pv kierownik_ruchu spec_srodowiska;65;kilka_osrodkow;Źródła energii, sieci, odnawialne źródła, efektywność energetyczna.;;1
biotechnologia;Biotechnologia;techniczny;inz_mgr;5;biologia;chemia matematyka;srednia;spec_rd technik_lab;pracownik_naukowy diagnosta_lab spec_srodowiska;40;duze_miasta;Biologia molekularna, mikrobiologia, inżynieria genetyczna, procesy biotechnologiczne.;Łatwej pracy. Rynek biotechnologiczny w Polsce jest wąski, wielu absolwentów trafia do laboratoriów diagnostycznych.;0
chemia;Chemia;uniwersytecki;lic_mgr;5;chemia;matematyka fizyka biologia;niska;spec_rd technik_lab pracownik_naukowy;diagnosta_lab spec_srodowiska nauczyciel;45;wszedzie;Chemia organiczna, nieorganiczna, analityczna, fizyczna. Bardzo dużo laboratorium.;;0
fizyka;Fizyka;uniwersytecki;lic_mgr;5;fizyka;matematyka;niska;pracownik_naukowy;data_scientist programista nauczyciel spec_rd;30;duze_miasta;Mechanika, elektrodynamika, fizyka kwantowa, metody numeryczne.;Bezpośredniej ścieżki zawodowej. Otwiera analizę danych i naukę, ale wymaga douczenia.;0
inz_materialowa;Inżynieria materiałowa;techniczny;inz_mgr;5;matematyka;fizyka chemia;niska;inzynier_jakosci spec_rd;inzynier_mechanik technolog_produkcji spawacz;55;kilka_osrodkow;Właściwości materiałów, badania nieniszczące, obróbka cieplna.;;0
zarz_inz;Zarządzanie i inżynieria produkcji;techniczny;inz_mgr;5;matematyka;fizyka;niska;technolog_produkcji inzynier_jakosci kierownik_magazynu;kierownik_ruchu spec_logistyki project_manager;60;kilka_osrodkow;Połączenie techniki z zarządzaniem. Organizacja produkcji, jakość, logistyka wewnętrzna.;;0
inz_biomedyczna;Inżynieria biomedyczna;techniczny;inz_mgr;5;matematyka;fizyka biologia;srednia;technik_serwisu;technik_radiolog spec_rd programista;40;kilka_osrodkow;Aparatura medyczna, sygnały biomedyczne, obrazowanie.;Dużego rynku pracy w Polsce. Część absolwentów trafia do serwisu aparatury i sprzedaży technicznej.;0
telekomunikacja;Telekomunikacja;techniczny;inz_mgr;5;matematyka;fizyka informatyka;srednia;administrator devops;programista cyberbezpieczenstwo technik_serwisu;60;kilka_osrodkow;Sieci, transmisja danych, systemy radiowe.;;1
budownictwo;Budownictwo;techniczny;inz_mgr;5;matematyka;fizyka;srednia;inzynier_budownictwa kierownik_budowy kosztorysant;geodeta projektant_instalacji architekt;70;wszedzie;Konstrukcje, materiały budowlane, technologia robót, geotechnika.;Uprawnień budowlanych. To 1 do 3 lata praktyki po dyplomie i egzamin.;1
architektura;Architektura;techniczny;inz_mgr;6;matematyka rysunek;fizyka;bardzo_wysoka;architekt;projektant_wnetrz inzynier_budownictwa projektant_produktu;55;kilka_osrodkow;Projektowanie, historia architektury, konstrukcje, urbanistyka. Bardzo dużo pracy własnej po nocach.;Uprawnień projektowych. To kolejne 2 do 3 lata praktyki i egzamin. Do tego projektowanie twórcze to około 10% realnej pracy.;0
arch_wnetrz;Architektura wnętrz;artystyczny;lic_mgr;5;rysunek;artystyczne;wysoka;projektant_wnetrz;architekt grafik projektant_produktu;50;kilka_osrodkow;Projektowanie przestrzeni, materiały wykończeniowe, rysunek, wizualizacje.;Umiejętności prowadzenia realizacji, która decyduje o zarobkach. Wizualizacje to kilka procent pracy.;0
geodezja;Geodezja i kartografia;techniczny;inz_mgr;5;matematyka;fizyka geografia;niska;geodeta;inzynier_budownictwa kierownik_budowy spec_srodowiska;70;kilka_osrodkow;Pomiary, rachunek wyrównawczy, kataster, systemy informacji przestrzennej.;Uprawnień zawodowych. Wymagają 1 do 3 lat praktyki i egzaminu.;1
gosp_przestrzenna;Gospodarka przestrzenna;uniwersytecki;lic_mgr;5;;geografia matematyka wos;niska;;geodeta spec_srodowiska urzednik architekt;35;kilka_osrodkow;Planowanie przestrzenne, urbanistyka, prawo planistyczne, GIS.;Konkretnego zawodu. Absolwenci trafiają najczęściej do administracji i biur projektowych.;0
rolnictwo;Rolnictwo;uniwersytecki;inz_mgr;5;biologia;chemia geografia;niska;agronom;spec_srodowiska ogrodnik lesnik technik_wet;55;kilka_osrodkow;Produkcja roślinna i zwierzęca, gleboznawstwo, ochrona roślin, ekonomika.;;1
lesnictwo;Leśnictwo;uniwersytecki;inz_mgr;5;biologia;chemia geografia;srednia;lesnik;spec_srodowiska agronom ogrodnik;65;kilka_osrodkow;Hodowla lasu, użytkowanie, ochrona, urządzanie lasu.;Etatu. Konkurencja o miejsca w Lasach Państwowych jest bardzo duża, a nabory ograniczone.;0
ogrodnictwo;Ogrodnictwo;uniwersytecki;inz_mgr;5;biologia;chemia;niska;ogrodnik;agronom spec_srodowiska;50;kilka_osrodkow;Uprawa roślin ozdobnych i warzyw, projektowanie zieleni, szkółkarstwo.;;1
weterynaria;Weterynaria;medyczny;jednolite;6;biologia chemia;;bardzo_wysoka;weterynarz;technik_wet spec_srodowiska diagnosta_lab;80;kilka_osrodkow;Anatomia, fizjologia, choroby zwierząt, chirurgia, farmakologia. Bardzo obciążający kierunek.;Odporności psychicznej. Wskaźniki wypalenia i problemów psychicznych w tym zawodzie należą do najwyższych wśród zawodów medycznych.;0
technologia_zywnosci;Technologia żywności;techniczny;inz_mgr;5;;chemia biologia matematyka;niska;spec_rd inzynier_jakosci technik_lab;cukiernik kucharz spec_srodowiska;55;kilka_osrodkow;Procesy technologiczne, mikrobiologia żywności, bezpieczeństwo, jakość.;;0
ochrona_srodowiska;Ochrona środowiska;uniwersytecki;lic_mgr;5;biologia;chemia geografia;niska;spec_srodowiska;agronom lesnik technik_lab urzednik;45;wszedzie;Ekologia, monitoring, prawo ochrony środowiska, gospodarka odpadami.;Praktycznej znajomości przepisów, która w tym zawodzie jest najważniejsza i zmienia się co roku.;0
lekarski;Kierunek lekarski;medyczny;jednolite;6;biologia chemia;;bardzo_wysoka;lekarz;diagnosta_lab pracownik_naukowy;90;kilka_osrodkow;Anatomia, fizjologia, patologia, przedmioty kliniczne. Sześć lat bardzo intensywnej nauki.;Prawa do samodzielnej pracy. Po dyplomie są staż i specjalizacja, razem 5 do 7 lat.;0
pielegniarstwo;Pielęgniarstwo;medyczny;lic_mgr;3;biologia;chemia;niska;pielegniarka;opiekun_med polozna ratownik_med;75;wszedzie;Anatomia, farmakologia, pielęgniarstwo kliniczne, bardzo dużo praktyk od pierwszego roku.;Przygotowania na kontakt ze śmiercią, który na większości oddziałów jest częścią miesiąca.;0
poloznictwo;Położnictwo;medyczny;lic_mgr;3;biologia;chemia;srednia;polozna;pielegniarka opiekun_med;80;kilka_osrodkow;Fizjologia ciąży i porodu, opieka nad noworodkiem, ginekologia, bardzo dużo praktyk.;Przygotowania na poród zakończony śmiercią dziecka. Zdarza się rzadko, ale zdarza.;0
ratownictwo_med;Ratownictwo medyczne;medyczny;lic;3;biologia;chemia wf;srednia;ratownik_med;pielegniarka strazak opiekun_med;70;kilka_osrodkow;Medyczne czynności ratunkowe, farmakologia, procedury, bardzo dużo praktyk w karetce.;Wsparcia psychologicznego, które w tym zawodzie jest konieczne. Zespół stresu pourazowego jest tu udokumentowany.;0
fizjoterapia;Fizjoterapia;medyczny;jednolite;5;biologia;chemia wf;srednia;fizjoterapeuta;masazysta trener_personalny terapeuta_zajeciowy;70;wszedzie;Anatomia funkcjonalna, kinezyterapia, terapia manualna, neurorehabilitacja.;Poziomu, który decyduje o zarobkach. Ten dają płatne kursy po dyplomie, po 3 do 12 tysięcy za kurs.;0
farmacja;Farmacja;medyczny;jednolite;6;biologia chemia;;wysoka;farmaceuta;diagnosta_lab spec_rd technik_farm;85;kilka_osrodkow;Chemia leku, farmakologia, technologia postaci leku, receptura.;Przygotowania na presję sprzedażową w aptekach sieciowych, która jest główną przyczyną odejść.;0
analityka_med;Analityka medyczna;medyczny;jednolite;5;biologia chemia;;srednia;diagnosta_lab;technik_lab spec_rd;80;kilka_osrodkow;Diagnostyka laboratoryjna, hematologia, mikrobiologia, biochemia kliniczna.;;0
dietetyka;Dietetyka;medyczny;lic_mgr;5;biologia;chemia;niska;dietetyk;technik_lab trener_personalny;45;wszedzie;Żywienie człowieka, dietoterapia, biochemia, psychologia żywienia.;Umiejętności prowadzenia gabinetu i pozyskiwania klientów, od których zależy cały dochód.;0
elektroradiologia;Elektroradiologia;medyczny;lic;3;biologia;fizyka;srednia;technik_radiolog;diagnosta_lab technik_serwisu;80;kilka_osrodkow;Fizyka promieniowania, anatomia radiologiczna, obsługa aparatury, ochrona radiologiczna.;;0
kosmetologia;Kosmetologia;medyczny;lic_mgr;5;biologia;chemia;niska;kosmetolog;masazysta dietetyk fryzjer;60;wszedzie;Dermatologia, chemia kosmetyczna, zabiegi pielęgnacyjne i aparaturowe.;Granicy z medycyną estetyczną, która jest przedmiotem sporów prawnych. Jej przekraczanie niesie ryzyko.;1
zdrowie_publiczne;Zdrowie publiczne;medyczny;lic_mgr;5;biologia;wos matematyka;niska;;urzednik kierownik_placowki spec_srodowiska analityk_danych;35;kilka_osrodkow;Epidemiologia, polityka zdrowotna, zarządzanie w ochronie zdrowia.;Konkretnego zawodu. Absolwenci trafiają najczęściej do administracji i NFZ.;0
psychologia;Psychologia;uniwersytecki;jednolite;5;biologia;polski wos matematyka;bardzo_wysoka;psycholog interwent;psychoterapeuta doradca_zawodowy spec_hr rekruter analityk_rynku coach;45;wszedzie;Psychologia ogólna, rozwojowa, kliniczna, społeczna, statystyka i metodologia badań.;Uprawnień do prowadzenia terapii. To czteroletnia szkoła po studiach i 60 do 120 tysięcy złotych własnych środków.;0
pedagogika;Pedagogika;uniwersytecki;lic_mgr;5;;polski biologia wos;niska;;nauczyciel_przedszkola pedagog_specjalny animator asystent_rodziny terapeuta_zajeciowy doradca_zawodowy;50;wszedzie;Teoria wychowania, dydaktyka, psychologia rozwojowa, metodyka.;Uprawnień do konkretnego stanowiska. Te dają specjalności i przygotowanie pedagogiczne.;0
pedagogika_przedszk;Pedagogika przedszkolna i wczesnoszkolna;uniwersytecki;jednolite;5;;polski biologia;niska;nauczyciel_przedszkola nauczyciel;opiekunka_dziecieca pedagog_specjalny;75;wszedzie;Metodyka nauczania początkowego, psychologia dziecka, dydaktyka przedmiotowa.;;0
pedagogika_spec;Pedagogika specjalna;uniwersytecki;jednolite;5;;biologia polski;srednia;pedagog_specjalny;terapeuta_zajeciowy nauczyciel_przedszkola asystent_niepelno;80;wszedzie;Praca z niepełnosprawnością, spektrum autyzmu, komunikacja alternatywna, terapia.;;0
socjologia;Socjologia;uniwersytecki;lic_mgr;5;;polski wos matematyka;niska;analityk_rynku;pracownik_socjalny doradca_zawodowy animator koordynator_ngo dziennikarz;25;wszedzie;Teorie społeczne, metody badań, statystyka społeczna.;Konkretnego zawodu. Co czwarty absolwent pracuje w obszarze związanym z kierunkiem.;0
filologia_ang;Filologia angielska;uniwersytecki;lic_mgr;5;jezyki;polski;niska;lektor;nauczyciel redaktor obsluga_klienta recepcjonista;40;wszedzie;Język, literatura, językoznawstwo, przekład. Dużo literatury, mniej praktycznego języka, niż się spodziewasz.;Przewagi na rynku. Znajomość języka to dziś warunek, nie kwalifikacja. Potrzebna jest druga dziedzina.;0
filologia_pol;Filologia Polska;uniwersytecki;lic_mgr;5;polski;historia;niska;redaktor nauczyciel;dziennikarz copywriter lektor;40;wszedzie;Literatura, językoznawstwo, gramatyka opisowa i historyczna.;Umiejętności pisania użytkowego. Copywriting i redakcja merytoryczna to nauka własna.;0
filologia_inne;Filologia germańska, romanska, hiszpanska i inne;uniwersytecki;lic_mgr;5;jezyki;polski;niska;lektor;nauczyciel obsluga_klienta spedytor recepcjonista;40;kilka_osrodkow;Jak filologia angielska, ale przy rzadszym języku przewaga na rynku pracy jest większa.;Praktycznego języka na poziomie zawodowym bez własnej pracy poza uczelnią.;0
teologia;Teologia;uniwersytecki;jednolite;5;;polski historia;niska;katecheta duszpasterz;koordynator_ngo animator nauczyciel;55;kilka_osrodkow;Pismo Święte, dogmatyka, historia Kościoła, etyka, filozofia.;Zabezpieczenia zawodowego. Liczba etatów katechetycznych maleje, warto zdobyć drugi przedmiot.;0
grafika;Grafika;artystyczny;jednolite;5;rysunek;artystyczne;wysoka;grafik ilustrator;projektant_ux montazysta projektant_produktu;55;kilka_osrodkow;Rysunek, malarstwo, projektowanie graficzne, typografia, techniki druku.;Umiejętności sprzedaży własnych usług, od której zależy cały dochód przy pracy na swoim.;0
wzornictwo;Wzornictwo przemysłowe;artystyczny;lic_mgr;5;rysunek;artystyczne fizyka;wysoka;projektant_produktu;grafik projektant_wnetrz architekt;50;kilka_osrodkow;Projektowanie form użytkowych, modelowanie 3D, technologie wytwarzania, prototypowanie.;Dużego rynku w Polsce. Mało firm projektuje własne produkty, licz się z klientami zagranicznymi.;0
dziennikarstwo;Dziennikarstwo i komunikacja społeczna;uniwersytecki;lic_mgr;5;;polski historia wos;niska;dziennikarz;pr redaktor copywriter social_media tworca_internetowy;35;duze_miasta;Warsztat dziennikarski, prawo prasowe, media, komunikacja.;Przewagi na rynku. Redakcje częściej zatrudniają specjalistów z dziedziny, o której piszą, niż absolwentów dziennikarstwa.;0
realizacja_obrazu;Realizacja obrazu filmowego i fotografia;artystyczny;lic_mgr;5;;artystyczne rysunek;bardzo_wysoka;operator_kamery fotograf;montazysta producent;50;jeden_osrodek;Zdjęcia, światło, montaż, technologia filmowa. Bardzo dużo praktyki warsztatowej.;Dostępu do zleceń. Ten daje reputacja na planie, budowana od noszenia sprzętu.;0
produkcja_filmowa;Organizacja produkcji filmowej;artystyczny;lic_mgr;5;;wos matematyka;wysoka;producent;project_manager operator_kamery montazysta;45;jeden_osrodek;Budżetowanie, harmonogramowanie, prawo autorskie, organizacja planu.;;0
muzyka_kier;Instrumentalistyka i wokalistyka;artystyczny;lic_mgr;5;artystyczne;;bardzo_wysoka;muzyk nauczyciel_muzyki;realizator_dzwieku instruktor_teatralny;65;kilka_osrodkow;Gra na instrumencie, teoria muzyki, harmonia, gra zespołowa.;Utrzymania z samego koncertowania. Większość muzyków w Polsce utrzymuje się z nauczania.;0
aktorstwo;Aktorstwo;artystyczny;jednolite;5;artystyczne;polski;bardzo_wysoka;aktor;instruktor_teatralny tworca_internetowy;55;kilka_osrodkow;Warsztat aktorski, ruch sceniczny, emisja głosu, praca przed kamerą.;Etatu ani zleceń. Rekrutacja przyjmuje kilka procent kandydatów, a po dyplomie konkurencja jest jeszcze ostrzejsza.;0
realizacja_dzwieku;Reżyseria dźwięku;artystyczny;lic_mgr;5;;fizyka artystyczne matematyka;wysoka;realizator_dzwieku;montazysta muzyk;60;kilka_osrodkow;Akustyka, technika studyjna, miks, mastering, dźwięk w filmie.;;1
wychowanie_fiz;Wychowanie fizyczne;uniwersytecki;lic_mgr;5;;wf biologia;niska;nauczyciel_wf trener_druzyny;trener_personalny instruktor_rekreacji fizjoterapeuta;60;kilka_osrodkow;Anatomia, fizjologia wysiłku, metodyka wychowania fizycznego, teoria sportu.;Uprawnień trenerskich w dyscyplinie. Te dają licencje związkowe, zdobywane osobno.;0
praca_socj_organiz;Organizacja pomocy społecznej;uniwersytecki;mgr;2;;wos;niska;kierownik_placowki;pracownik_socjalny asystent_rodziny;65;kilka_osrodkow;Zarządzanie placówkami, prawo pomocy społecznej, finanse jednostek.;;0
doradztwo_zaw_kier;Doradztwo zawodowe i personalne;uniwersytecki;lic_mgr;5;;wos polski;niska;doradca_zawodowy;spec_hr rekruter coach trener_biznesu;55;kilka_osrodkow;Metody diagnozy zawodowej, rynek pracy, poradnictwo, prowadzenie warsztatów.;;0
